"skill_category","job_postings","number_of_skills","percentage_of_data_analyst_jobs"
"analyst_tools","123296","28","62.72"
"programming","117578","53","59.81"
"cloud","34491","18","17.54"
"libraries","17277","41","8.79"
"other","14565","21","7.41"
"databases","13985","17","7.11"
"async","6457","13","3.28"
"webframeworks","4610","25","2.34"
"os","4467","12","2.27"
"sync","1607","11","0.82"
